Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links
Los números del Girasol en La Pampa,Jornada Presente y Futuro del Girasol para la región subhumeda y semiárida pampeana,Santa Rosa,Argentina,In person,1 de septiembre de 2000,2000,Invited Talk,200,Speaker,
SIG y Teledetección,74º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,7 y 8 de Octubre de 2000,2000,Exhibition,200,Speaker,
Sistemas de Procesamiento de Datos,Carrera Auditoria Bancaria,CENT N°1. Santa Rosa,Argentina,In person,Marzo-Diciembre 2000,2000,Course,32,Teacher,
Teledetección en el Agro,Exposición Rural de Realico,Realicó,Argentina,In person,15- 16 y 17 de Septiembre de 2000,2000,Exhibition,200,Speaker,
Manejo de la Información de AgroRADAR,Ronda de Trigo 2001,Este de La Pampa-Suroeste de Buenos Aires,Argentina,In person,12 al 16 de Noviembre de 2001,2001,Exhibition,80,Organizer,
Sistemas de Información Geográficos en el Agro,75º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,7 y 8 de Octubre de 2001,2001,Exhibition,200,Speaker,
Jornada de Calidad Agroalimentaria y Trazabilidad,Profesionales,EEA INTA Anguil. Anguil- La Pampa,Argentina,In person,15 de agosto de 2002,2002,Conference,70,Organizer,
Jornada de Sustentabilidad e Incertidumbre,Profesionales,EEA INTA Anguil. Anguil- La Pampa,Argentina,In person,13 de junio de 2002,2002,Conference,60,Organizer,
Manejo de la Información de AgroRADAR,Ronda de Girasol 2002,Este de La Pampa-Suroeste de Buenos Aires,Argentina,In person,26 de Febrero al 1 de Marzo 2002,2002,Exhibition,50,Organizer,
Manejo de la Información de AgroRADAR,Ronda de Trigo 2002,Este de La Pampa-Suroeste de Buenos Aires,Argentina,In person,25 al 29 de Noviembre de 2002,2002,Exhibition,100,Organizer,
Manejo de la Información de AgroRADAR,Ronda del Puerto 2002,Bahía Blanca,Argentina,In person,8 de octubre de 2002,2002,Exhibition,60,Organizer,
AgroRADAR,1º Congreso Sobre Producción de Origen Agropecuario del SE Pampeano,Necochea,Argentina,In person,28 de Enero al 4 de Febrero de 2003,2003,Invited Talk,70,Speaker,
Aspectos Tecnológicos y Productivos- Almacenaje Comercial e Integración en un SIG,Curso de Posgrado “Especialización en Siembra Directa”.,Facultad de Agronomía de la Universidad de Buenos Aires.,Latin America,In person,noviembre 2003,2003,Course,48,Teacher,
Manejo de la Información de AgroRADAR,Ronda de Trigo 2003,Este de La Pampa-Suroeste de Buenos Aires,Argentina,In person,24 al 28 de Noviembre de 2003,2003,Exhibition,80,Organizer,
Programando Microsoft SQL Server 2000,EEA Anguil,Anguil- La Pampa,Argentina,In person,24 al 28 de noviembre de 2003,2003,Course,21,Teacher,
Área Estratégica Tecnología de la Información,INTA Expone 2004,Oliveros (Santa Fé),Argentina,In person,28 al 30 de Octubre del 2004,2004,Exhibition,2000,Organizer,
Manejo de la Información de AgroRADAR,IV Ronda de trigo 2004,Este de La Pampa-Suroeste de Buenos Aires,Argentina,In person,29 de Noviembre al 3 de Diciembre del 2004,2004,Exhibition,90,Organizer,
Programación de Microsoft SQL Server 2000 con ASP.NET,Informáticos INTA,EEA Anguil,Argentina,In person,22 al 26 de Marzo 2004,2004,Course,23,Teacher,
Operación del sistema de carga y consulta de Agroprecipitaciones Web del proyecto RIAP,Profesionales de INTA,EEA Anguil,Argentina,In person,6 y 7 de Septiembre de 2005,2005,Course,7,Teacher,
Sistema de Carga y Consulta Informe Agronómico Mensual,Profesionales de INTA,EEA Anguil,Argentina,In person,2 y 3 de Noviembre de 2005,2005,Course,18,Teacher,
,IX Congreso Argentino de Meteorología. Congremet IX,Buenos Aires- Argentina,Argentina,In person,3 al 7 de octubre de 2005,2005,Lightning talk,48,Speaker,
Área Estratégica Tecnología de la Información,INTA Expone 2006,General Roca (Río Negro),Argentina,In person,10- 11 y 12 de Noviembre 2006,2006,Exhibition,2000,Organizer,
Ganadería y Sistemas Mixtos en Siembra Directa,Curso de Posgrado “Especialización en Siembra Directa”.,Facultad de Agronomía de la Universidad de Buenos Aires.,Latin America,In person,noviembre de 2006,2006,Course,56,Teacher,
Bases para la implementación de un Sistema de Información Agropecuaria en Red,Profesionales Venezolanos,La Pampa,Latin America,In person,octubre de 2007,2007,Course,26,Teacher,
Caracterización tecnológica del cultivo de Girasol,IV Congreso Argentino de Girasol. ASAGIR,Santa Rosa,Argentina,In person,mayo 2007,2007,Invited Talk,100,Speaker,
Hacia la nueva conectividad del INTA,Jornada Nacional INTA,Buenos Aires,Argentina,In person,27 y 28 de Noviembre de 2007,2007,Regular Talk,300,Speaker,
Las tecnologías de la información en la EEA INTA Anguil,Quinta semana de la ciencia y la tecnología,Liceo Informático II. Santa Rosa,Argentina,In person,8 al 15 de junio de 2007,2007,Invited Talk,35,Speaker,
Introducción a Internet y Word,EEA Anguil,Anguil- La Pampa,Argentina,In person,19 y 20 de Noviembre de 2008,2008,Course,53,Teacher,
Sistema de Información  “Informe Agronómico Mensual”,Jornadas de Informática Industrial – Agroinformática. JAIIO 2008,Santa Fé.,Argentina,In person,8 al 12 de septiembre de 2008,2008,Regular Talk,100,Speaker,https://yabellini.netlify.app/talk/2008_si_rian/
VII Congreso Nacional de Trigo. V Simposio Nacional de Cereales de Siembra de Otoño-Invernal. I encuentro del Mercosur. 2007-2008,Profesionales,INTA La Pampa- Facultad de Agronomía de la Universidad Nacional de La Pampa.,Argentina,In person,,2008,Conference,250,Organizer,
Alarmas Agropecuarias a Teléfonos Celulares,Universidad Catolica Argentina,Buenos Aires,Argentina,In person,12/08/2008,2008,Invited Talk,80,Speaker,https://yabellini.netlify.app/talk/2008_alarmas-uca/
