Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,marzo 2017,2017,Course,28,Teacher,
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,septiembre 2017,2017,Course,26,Teacher,
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,octubre 2017,2017,Course,23,Teacher,
AgroDatos abiertos en INTA,Clubes de Innovación,Municipalidad de Trenque Lauquen,Argentina,In person,26-10-2017,2017,Keynote,60,Speaker,https://yabellini.netlify.app/talk/2017_clubinnovacion/
Hacia una Guía Digital Móvil para la identificación y manejo sustentable de los pastizales naturales,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,Latin America,In person,05/09/2017,2017,Regular Talk,60,Speaker,
Herramientas para el manejo de datos agropecuarios. Base de Datos Relacionales para sistemas agropecuarios,Liceo Informatico II. INTA,Santa Rosa y Anguil,Argentina,In person,16/06/2017 al 30/11/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. Google Earth,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,18/08/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. Google Sheets,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,Septiembre,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. OpenRefine,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,11/08/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. Sistemas de información de INTA,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,25/08/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. Tableau.,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,04/08/2017,2017,Course,15,Teacher,
INTA. Radar Meteorologico,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,Octubre,2017,Exhibition,200,Speaker,
R-Ladies Santa Rosa,Radio Noticias,Santa Rosa,Argentina,In person,20/04/2017,2017,Podcast,1000,Speaker,https://yabellini.netlify.app/talk/2017_elfaro_rladies/
R-Ladies: Agroinformática y el rol de la mujer,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,Latin America,In person,05/09/2017,2017,Keynote,60,Speaker,https://yabellini.netlify.app/talk/2017_cai_clei/
Resultados Convenio Comisiones de Estudio,Reuniones PRETs y Coordinadores de Área,"Anguil, La Pampa",Argentina,In person,24/11/2017,2017,Invited Talk,30,Speaker,https://yabellini.netlify.app/talk/2017_comisionestudios/
"R-Ladies Santa Rosa, ¿porqué y para qué?",Instituto Tecnológico de Educación Superior,"Santa Rosa, La Pampa",Argentina,In person,22/06/2017,2017,Invited Talk,35,Speaker,https://yabellini.netlify.app/talk/2017_ites_rladies/
¿Cómo profundizar la convergencia entre Internet y producción,Seminario web “Internet y producción: hacia la convergencia en el agro”.,San Luis,Latin America,In person,17 de mayo de 2018.,2018,Panel,200,Speaker,https://inta.gob.ar/eventos/internet-y-produccion-hacia-la-convergencia-en-el-agro
1 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,47 JAIIO,Universidad de Palermo. Buenos Aires,Latin America,In person,3 al 5 de Septiembre de 2018,2018,Conference,200,Organizer,https://47jaiio.sadio.org.ar/index.php?q=node/125
10vo Congreso Argentino de AgroInformática. 45 JAIIO,INTA-SADIO.,Buenos Aires,Latin America,In person,septiembre de 2018,2018,Conference,300,Chair,
Análisis de clustering en una región de La Pampa para clasificar sistemas ganaderos preponderantes y estimar emisiones de gases de efecto invernadero,CAI 2018 - Congreso Argentino de AgroInformática,,Latin America,In person,05/09/2018,2018,Regular Talk,1000,Speaker,
Cambio climático,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,05/07/2018,2018,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-ing-rrnn-anabella-lozza-y-a-la-lic-yanina-bellini-cambio-climatico
GeoINTA y Geotecnologías en la nube.,Visita Alumnos Colegio secundario Enrique Stieben de Anguil. EEA Anguil.,Anguil- La Pampa,Argentina,In person,miércoles 6 de junio de 2018,2018,Regular Talk,35,Speaker,
Congreso Argentino de Agroinformática: Un análisis bibliometrico,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,2018,Regular Talk,200,Speaker,
Congreso de Agroinformática 2018,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,13/09/2018,2018,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-lic-yanina-bellini-saibene-congreso-de-agroinformatica-2018
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,03/07/2018,2018,Course,50,Teacher,
Evaluación del desempeño de productos satelitales para estimar precipitación en Córdoba (Argentina),CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,05/09/2018,2018,Regular Talk,,Speaker,
La comunidad del lenguaje R en Santa Rosa,R-Ladies Santa Rosa y PampaSeg,Prado Español- Santa Rosa,Latin America,In person,23/11/2018,2018,Invited Talk,,Speaker,
Monitoreo móvil del programa ProHuerta en La Pampa,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,05/09/2018,2018,Regular Talk,,Speaker,
Primer Workshop Inundaciones y geotecnologías aplicadas: interinstitucionalidad y compromiso social,UNLPam-INTA,Santa Rosa,Argentina,In person,28 y 29 de Agosto de 2018,2018,Conference,,Organizer,https://inta.gob.ar/eventos/primer-workshop-inundaciones-y-geotecnologias-aplicadas-interinstitucionalidad-y-compromiso-social
Relevamiento de la Agricultura Periurbana en una microregión de La Pampa,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,2018,Regular Talk,,Speaker,
Seminario Charlando sobre brecha de género en STEM: AgroInformática y R-Ladies.,EEA Anguil.,Anguil- La Pampa,Argentina,In person,19 de abril de 2018.,2018,Regular Talk,,Speaker,
Setup R Day,R-Ladies Santa Rosa,INTA Santa Rosa,Argentina,In person,26/02/2018,2018,Course,,Teacher,
Tendências de pesquisa em Agroinformática na Argentina: uma análise histórica ,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,2018,Regular Talk,,Speaker,
20 años de desarrollo AgTech en la EEA Anguil,Consejo Regional La Pampa San Luis,"victorica, La Pampa",Argentina,In person,agosto de 2018,2018,Invited Talk,25,Speaker,
Mirando la producción de los Proyectos Regionales con Enfoque Territorial (PRETs) EEA Anguil,Consejo Regional La Pampa San Luis,"Anguil, La Pampa",Argentina,In person,26/12/2018,2018,Invited Talk,30,Speaker,
10 años de la Red de Radares,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,08/08/2019,2019,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-ing-agr-laura-belmonte-y-la-lic-yanina-bellini-saibene-10-anos-de-la-red-de-radares
10 años del radar de Anguil.,EEA Anguil. Alumnos del colegio secundario de Anguil.,Anguil,Argentina,In person,11/10/2019,2019,Regular Talk,35,Speaker,
11vo Congreso Argentino de AgroInformática. 46 JAIIO,INTA-SADIO.,Salta,Argentina,In person,septiembre 2019,2019,Conference,300,Chair,
2 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,R-Ladies- RConsortium- RFoundation,Santiago de Chile,Chile,In person,,2019,Conference,200,Organizer,
Análise das Tendências de pesquisa no Congresso de Agroinformática da Argentina: um estudo regional,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Argentina,In person,2019,2019,Regular Talk,50,Speaker,
Aplicaciones de Ciencia de Datos.,Seminario de aplicación. UADE.,Online,Argentina,Online,04/11/2019,2019,Invited Talk,,Speaker,
Becas de diversidad rstudio::conf 2020. Te ayudamos a presentar tu postulación!,R-Ladies Santa Rosa,Prado Español- Santa Rosa,Latin America,In person,Friday- September 13- 2019,2019,Course,,Organizer,
Ciencia de Datos aplicada al Agro.,Jornada Trabajos de Sistemas. Colegio Universitario Liceo Informático II. EEA Anguil,Anguil- La Pampa,Argentina,In person,15/11/2019,2019,Regular Talk,,Speaker,
Ciencia de Datos aplicada al Agro.,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,11/04/2019,2019,Podcast,,Speaker,https://inta.gob.ar/audios/entrevista-a-la-lic-yanina-bellini-ciencia-de-datos-aplicada-al-agro
Ciencia de Datos con el Radar Meteorológico,AMUCAN,Santa Rosa,Argentina,In person,24/08/2019,2019,Podcast,,Speaker,
Conjunto de datos de imágenes etiquetadas para el desarrollo de aplicaciones de reconocimiento de patrones en el cultivo de girasol,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,
Conjunto de datos de resultados de la Red Nacional de Cultivares de Girasol de INTA,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,
Google Earth Engine desde Cero,Universidad Nacional de Salta,Salta,Latin America,In person,17/09/2019,2019,Course,,Teacher,
Curso R desde Cero.,INTA. R-Ladies Santa Rosa.,Prado Español- Santa Rosa,Argentina,In person,7 asl 28 de Mayo de 2019,2019,Course,,Teacher,
Curso R desde Cero.,Universidad Nacional de Salta.,Salta,Latin America,In person,17/09/2019,2019,Course,,Teacher,
Exploración de Datos,Fundación Banco de La Pampa,Fundación Banco de La Pampa,Argentina,In person,Octubre-Noviembre,2019,Course,15,Teacher,
Exploración de Datos,Fundación Banco de La Pampa,Fundación Banco de La Pampa,Argentina,In person,Octubre-Noviembre,2019,Course,12,Teacher,
Desarrollo AgTech con Ciencia de Datos,Taller Argentino de Computación Científica (TAC²).,Universidad Nacional de San Luis (UNSL).,Latin America,In person,5/12/2019,2019,Keynote,80,Speaker,
Evaluación del desempeño de productos satelitales para estimar evapotranspiración en la región pampeana (Argentina),11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,
Geotecnologías en la era del Big Data.,2019GISDay,UNLPam. Instituto de Geografía.,Argentina,In person,13/11/2019,2019,Keynote,200,Speaker,
Geotecnologías en la Nube,Universidad Nacional de La Pampa. Carrera de Geografía,Santa Rosa,Argentina,In person,30/10/2019,2019,Invited Talk,,Speaker,
Modeling with H2O with R,LatinR 2019,Santiago de Chile,Chile,In person,2019,2019,Course,30,Teacher Assistant,
Panel comunidades de práctica: R-Ladies,LatinR 2019,Santiago de Chile,Chile,In person,25/09/2019,2019,Panel,,Speaker,
Quién es Quién en la Agroinformática Argentina,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,
R para análisis científicos reproducibles ,INTA Castelar,Castelar- Buenos Aires- Argentina,Argentina,In person,06/08/2019,2019,Course,84,Teacher,
Radar Meteorológico: uso e interpretación de su información y productos,UNLPam-INTA,Facultad de Agromia de la UNLPam,Argentina,In person,14/08/2019,2019,Course,,Teacher,https://inta.gob.ar/eventos/radar-meteorologico-uso-e-interpretacion-de-su-informacion-y-productos
RMarkdown: generando reportes automáticos con R,11° PampaSeg. Santa Rosa- La Pampa.,Santa Rosa- La Pampa,Latin America,In person,14/12/2019,2019,Course,,Teacher,
Técnicas de Análisis de Redes Sociales para estudiar la colaboración científica,Seminarios INTA Anguil,Anguil,Argentina,In person,04/06/2019,2019,Invited Talk,,Speaker,https://inta.gob.ar/noticias/seminario-inta-anguil-tecnicas-de-analisis-de-redes-sociales-para-estudiar-la-colaboracion-cientifica
Ciencia de Datos aplicada al Agro.,De Fernte Al Campo,Santa Rosa,Argentina,In person,03/05/2019,2019,Podcast,2000,Speaker,https://youtu.be/X9L8PsDwod4?si=WZ1m2Uu_sLgiGlFp
¡Cierre del año y Tidymodels!,R-Ladies Argentina,,Argentina,Online,2020,2020,Course,40,Organizer,
12vo Congreso Argentino de AgroInformática. 47 JAIIO,INTA-SADIO.,,Latin America,Online,octubre de 2020,2020,Conference,1000,Chair,
3 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,Profesionales,,Latin America,Online,Online,2020,Conference,1000,Chair,
49 Jornadas Argentinas de Informática.,SADIO – FIUBA,,Latin America,Online,Online,2020,Conference,1000,Chair,
Ciencia de Datos aplicada al Agro.,Clase invitada a la cátedra de AgroTICs de Ingeniería Agronómica. UN de Río Negro.,Rio Negro,Argentina,Online,22/04/2020,2020,Invited Talk,30,Speaker,
Ciencia de Datos aplicada al sector agropecuario.,Diplomatura Universitaria en Inteligencia Artificial. UNICEN.,Tandil,Argentina,Online,17/11/2020,2020,Invited Talk,65,Speaker,
Ciencia de Datos aplicadas al sector agropecuario.,Ciclo de Charlas de R-Ladies La Paz. Bolivia-,La Paz,Bolivia,Online,04/06/2020,2020,Invited Talk,35,Speaker,
Ciencias de Datos en el sector agropecuario.,Seminario de matemática aplicada. FAMAF (UNC).,Cordoba,Argentina,Online,14/09/2020,2020,Invited Talk,60,Speaker,
Como organizar un evento virtual inolvidable (y no morir en el intento).,R-Ladies Global  para el mundo hispanohablante (Se organiza con Argentina- Chile- Perú- Bolivia- España y Ecuador).,,Global,Online,01/07/2020,2020,Course,200,Teacher,
Comunicando con posters,Proyecto Internacional de la Alfabetización Estadística,,Bolivia,Online,12/12/2020,2020,Invited Talk,150,Speaker,
Comunidades de práctica en América Latina: R y Colegas.,useR! 2020,,Global,Online,11/07/2020,2020,Invited Talk,200,Speaker,
Comunidades de práctica para I+D y T+E: R y colegas. Seminario,Plataforma de Asistencia Estadística del INTA.,,Argentina,Online,23/10/2020,2020,Invited Talk,80,Speaker,
Cosechando Datos: el manejo de la información digital.,Webinario Agricultura de Precisión: “El INTA y la Agricultura Digital”.,,Argentina,Online,22/09/2020,2020,Invited Talk,1000,Speaker,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,29/05/2020,2020,Course,20,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,16/05/2020,2020,Course,21,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,09/05/2020,2020,Course,23,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,02/05/2020,2020,Course,26,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,25/04/2020,2020,Course,21,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia/INTA,,Argentina,Online,18/04/2020,2020,Course,18,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,14/04/2020,2020,Course,17,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,11/04/2020,2020,Course,20,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,04/04/2020,2020,Course,21,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,03/04/2020,2020,Course,25,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,28/03/2020,2020,Course,20,Teacher,
Curso RADAR Meteorológico.,INTA,,Argentina,Online,22/05/2020,2020,Course,25,Teacher,
Generando tutoriales interactivos con el paquete learnr.,Conferencia LatinR,,Latin America,Online,3/10/2020,2020,Course,28,Teacher,
Introducción al ABC para enseñar Online,Conferencia LatinR,,Latin America,Online,02/10/2020,2020,Course,17,Teacher,
Datos Masivos en el sector Agropecuario,Diploma en nuevas tecnologías en el agro. Universidad de la Empresa (Uruguay),,Latin America,Online,junio 2020,2020,Course,18,Teacher,
Datos Masivos en Politicas Publicas,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,,Argentina,Online,,2020,Course,25,Teacher,
Geotecnologías para el monitoreo y cuantificación de inundaciones.,Hidrología Pampeana Aplicada,,Argentina,Online,28/04/2020,2020,Invited Talk,60,Speaker,
Hacia una red de práctica sobre comunidades de práctica.,Noviembre HD. Asociación Argentina de Humanidades Digitales.,,Argentina,Online,12/11/2020,2020,Panel,100,Speaker,
Intro al ABC para dar clases (y hacer otras cosas Online).,Red INTA Joven,,Argentina,Online,24/07/2020,2020,Course,21,Teacher,
Intro al ABC para dar clases (y hacer otras cosas Online).,Red INTA Joven y MetaDocencia,,Argentina,Online,20/07/2020,2020,Course,18,Teacher,
Intro al ABC para dar clases (y hacer otras cosas Online).,Red INTA Joven y MetaDocencia,,Argentina,Online,18/07/2020,2020,Course,23,Teacher,
Intro al ABC para dar clases (y hacer otras cosas) Online,INTA Anguil,,Argentina,Online,30/07/2020,2020,Course,15,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Intro al ABC para dar clases (y hacer otras cosas) Online,INTA San Luis,,Argentina,Online,28/07/2020,2020,Course,16,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Intro al ABC para dar clases (y hacer otras cosas) Online,Centro Regional La Pampa/San Luis INTA,,Argentina,Online,23/07/2020,2020,Course,14,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Intro al ABC para dar clases (y hacer otras cosas) Online,Agencias de Extensión INTA Anguil,,Argentina,Online,21/07/2020,2020,Course,21,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Intro al ABC para dar clases (y hacer otras cosas) Online,Agencias de Extensión INTA Villa Mercedes,,Argentina,Online,16/07/2020,2020,Course,13,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Intro al ABC para dar clases (y hacer otras cosas) Online,Area de Administración y Apoyo Técnico de Anguil INTA,,Argentina,Online,14/07/2020,2020,Course,15,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Intro al ABC para dar clases (y hacer otras cosas) Online,Area de Administración y Apoyo Técnico de Villa Mercedes INTA,,Argentina,Online,07/07/2020,2020,Course,23,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/
Introducción a Git (control de versiones) y como usarlo con R y RStudio.,R-Ladies,,Argentina,Online,18/05/2020,2020,Course,60,Teacher,
Los datos lo cambian todo: Big Data- sensores remotos e inteligencia artificial.,Congreso Maizar 4.0,,Argentina,Online,30/06/2020,2020,Panel,1000,Speaker,
Mujeres en STEAM. ¿Quién es Yanina Bellini Saibene?,Las de Sistemas,,Argentina,Online,26/06/2020,2020,Podcast,200,Speaker,
Panel: Supporting Diversity in the R Community,useR! 2020,,Global,Online,17/07/2020,2020,Panel,100,Speaker,
Practicas efectivas para realizar eventos Online.,Comunidades de transferencia y extensión tecnológica en España.,,España,Online,07/09/2020,2020,Panel,25,Speaker,
Predictive modeling with text using tidy data principles.,Tutorial useR! 2020-R-Ladies,,Global,Online,2020,2020,Course,80,Organizer,
Presentación de la Plataforma de Asistencia Estadística de INTA.,INTA,,Argentina,Online,18/11/2020,2020,Panel,100,Organizer,
R-Ladies Global- a worldwide organisation to promote gender diversity in the R community,EGU General Assembly 2020 was held Online.,,Global,Online,08/05/2020,2020,Regular Talk,25,Speaker,
Radar Meteorológico: uso e interpretación de su información.,XVIII Reunión Argentina y IX Latinoamericana de Agrometeorología 2020,,Argentina,Online,23/11/2020,2020,Course,20,Teacher,
RStudio Certification Panel.,MiR Community- Saint Luis- USA.,,Global,Online,12/06/2020,2020,Panel,60,Speaker,
Segunda edición del curso de radar meteorológico.,Para personal de INTA y profesionales del sector agropecuario de la zona del CERBAN,,Argentina,Online,03/07/2020,2020,Course,18,Teacher,
Seminario online: Uso y análisis de imágenes satelitales en el Agro,Día Internacional de la Juventud. Capacitación a jóvenes rurales. INTA,,Argentina,Online,11/11/2020,2020,Course,40,Teacher,
Text Mining o minería de textos.,Ciclo de capacitación del PE Prospectiva y Observatorios Tecnológico. INTA,,Argentina,Online,25/09/2020,2020,Invited Talk,60,Speaker,
useR! 2020. The R Global Conference.,RFoundation,,Global,Online,2020,2020,Conference,2000,Organizer,
Visualización ,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,UNAB,Argentina,Online,,2020,Course,25,Teacher,
Webinar: Procesando datos espaciales con R.,Desafios AgTech.,,Latin America,Online,3/11/2020,2020,Course,100,Teacher,
Aplicaciones de Big Data en el Agro.,Universidad de la Empresa. Uruguay. Diplomatura en AgTech.,,Latin America,Online,9 y 10 de Octubre 2020.,2020,Course,20,Teacher,
{agromet}: un paquete en R para el análisis de datos meteorológicos,Congreso Argentino de AgroInformática (JAIIO),,Latin America,Online,2021,2021,Regular Talk,200,Speaker,
13vo Congreso Argentino de AgroInformática. ,SADIO,,Latin America,Online,octubre de 2021,2021,Conference,1000,Chair,
4 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,R-Ladies- RConsortium- RFoundation,,Latin America,Online,,2021,Conference,1000,Chair,
50 Jornadas Argentinas de Informática. ,SADIO – INTA,,Latin America,Online,,2021,Conference,1000,Chair,
Agricultura inteligente.,NASA Harverst. Bolsa de Cereales de Buenos Aires.,,Latin America,Online,2021,2021,Invited Talk,400,Speaker,
Aplicaciones agropecuarias de la Ciencia de datos,Segundas Jornadas Regionales de Cienca de Datos,,Argentina,Online,29/09/2021,2021,Invited Talk,37,Speaker,
Aplicaciones de Ciencia de Datos en el sector agropecuario.,Ecuador. X Seminario Internacional de Estadística Aplicada.,,Ecuador,Online,2021,2021,Keynote,200,Speaker,
Ciencia de Datos aplicada al Agro.,Seminario virtual de Estadística- Big Data y Data Science.,,Colombia,Online,13/12/2021,2021,Keynote,100,Speaker,
Ciencia de Datos aplicada al sector agropecuario. Seminario de aplicación al ámbito público.,Maestría en Ciencia de Datos. UdeSA.,,Argentina,Online,24/04/2021,2021,Invited Talk,37,Speaker,
Ciencia de datos en el sector agropecuario y desde el sector público.,Cadena de Datos.,,Argentina,Online,02/02/2021,2021,Podcast,2000,Speaker,
Ciencia de Datos para Turismo con R - Centro,Ministerio de Turismo,,Argentina,Online,Noviembre,2021,Course,37,Teacher,
Ciencia de Datos para Turismo con R - Norte,Ministerio de Turismo,,Argentina,Online,Diciembre,2021,Course,35,Teacher,
Ciencia de Datos para Turismo con R - Patagonia,Ministerio de Turismo,,Argentina,Online,Octubre,2021,Course,28,Teacher,
Clustering para determinar Sistemas Productivos Preponderantes,INTA,,Argentina,Online,2021,2021,Invited Talk,32,Speaker,
Como enseñar a programar Online.,INTA/MetaDocencia,,Argentina,Online,24/04/2021,2021,Course,20,Teacher,
Como enseñar a programar.,Women in Bioinformatics and Data Science.,,Argentina,Online,22/03/2021,2021,Course,20,Teacher,
Como enseñar a programar.,MetaDocencia,,Argentina,Online,2021,2021,Course,17,Teacher,
From spreadsheets to R,Software Susteanability Institute/ RS Camp: Beyond the Spreadsheet,,UK,Online,09/11/2021,2021,Course,30,Teacher,
Datos Masivos en el sector Agropecuario,Diploma en nuevas tecnologías en el agro. Universidad de la Empresa (Uruguay),,Latin America,Online,junio 2021,2021,Course,15,Teacher,
Datos Masivos en Politicas Publicas,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,,Argentina,Online,,2021,Course,25,Teacher,
Enseñando a enseñar tecnología sin perder a nadie en el camino.,50 JAIIO - Jornadas Argentinas de Informática e Investigación Operativa,,Latin America,Online,25/10/2021,2021,Keynote,120,Speaker,
Facilitating discussions around Diversity- Equity and Inclusion.,Center for Scientific Collaboration and Community Engagement- USA.,,Global,Online,27/04/2021,2021,Panel,170,Speaker,
Generando tutoriales interactivos con el paquete learnr.,RenBaires. MetaDocencia.,,Argentina,Online,08/05/2021,2021,Course,75,Teacher,
Geotecnologías al servicio del agro.,Academia de Riego. Kilimo.,,Latin America,Online,11/02/2021,2021,Invited Talk,200,Speaker,
Geotecnologías aplicadas al sector agropecuario.,Diplomatura en Data Analytics para el Agro. Universidad Austral.,,Latin America,Online,2021,2021,Invited Talk,56,Speaker,
Gestión de Datos,UNAB. Licenciatura en Ciencia de Datos,,Argentina,Online,Marzo-Julio,2021,Course,30,Teacher,
Instructor trainer (how to teach computing skill to scientists),The Carpentries.,,Global,Online,2021,2021,Course,26,Teacher,
Intro al ABC para enseñar (y hacer otras cosas) online.,INTA/MetaDocencia,,Argentina,Online,2021,2021,Course,22,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Global,Online,2021,2021,Course,21,Teacher,
Introducción al ABC para enseñar Online,MetaDocencia,,Global,Online,2021,2021,Course,15,Teacher,
Introducción al ABC para enseñar Online,INTA/MetaDocencia,,Argentina,Online,2021,2021,Course,13,Teacher,
Introducción a la programación con R,Diploma de datos. Fundación Libertad. Rosario,,Latin America,Online,Marzo-Abril 2021,2021,Course,21,Teacher,
Introducción al ABC para enseñar (y hacer otras cosas) Online,SADIO,,Argentina,Online,octubre 2021,2021,Course,16,Teacher,
Introducción al ABC para enseñar (y hacer otras cosas) Online,INTA/MetaDocencia,,Argentina,Online,31/03/2021,2021,Course,20,Teacher,
Introducción al ABC para enseñar (y hacer otras cosas) Online.,MetaDocencia/INTA,,Argentina,Online,2021,2021,Course,18,Teacher,
Introducción al ABC para enseñar (y hacer otras cosas) Online.,MetaDocencia,,Global,Online,20/03/2021,2021,Course,25,Teacher,
Los datos en el Agro,AgroEvolución,,Latin America,Online,2021,2021,Podcast,3000,Speaker,
Los Datos en el Agro. Master Class.,FieldView,,Latin America,Online,2021,2021,Invited Talk,200,Speaker,
MetaDocencia: Teaching How to Teach Technology together.,XI Congreso Argentino de Bioinformática y Biología Computacional 2021,,Argentina,Online,11/11/2021,2021,Regular Talk,100,Speaker,
Missing narratives in discussions around diversity and inclusion in research software engineering. Panel discusión.,SeptembRSE. Conference- on Research Software Engineering,,USA,Online,28/09/2021,2021,Panel,80,Speaker,
On programming- teaching- and building tutorials with learnr.,RStudioConf.,,Global,Online,21/11/2021,2021,Regular Talk,15000,Speaker,
Panel Building RSE Communities Worldwide. RSE in Latin America and Argentina.,Research Software Engineers in HPC (RSE-HPC-2021),,USA,Online,15/11/2021,2021,Panel,80,Speaker,
Panel discussion: Do we have the right tools for research?,Research Software Camp: Beyond the Spreadsheet- organised by the Software Sustainability Institute.,,UK,Online,5/11/2021,2021,Panel,40,Speaker,
Panel R-Ladies. Building- Growing- and Sustaining a Community.,Women in Statistics and Data Science conference,,USA,Online,07/10/2021,2021,Panel,70,Speaker,
Presentación REC 028- Red de Modelado de Agroecosistemas.,INTA,,Argentina,Online,2021,2021,Invited Talk,23,Speaker,
Presentando useR! 2021.,Reunión internacional en conjunto con R-Ladies.,,Global,Online,28/04/2021,2021,Panel,70,Organizer,
Sororidad- comunidades y el empoderamiento de las Mujeres en la Ciencia,Encuentro Internacional de Mujeres y Niñas en las Ciencias. Logros y desafios de la contemporaniedad. Soy Mujer y hago Ciencia.,,Ecuador,Online,2021,2021,Panel,80,Speaker,
Tecnologías de TI para el Agro.,UPRA. Colombia.,,Colombia,Online,2021,2021,Panel,100,Speaker,
Tracking Impact and Measuring Success in Data Education Events.,csv-conf-v6.,,Global,Online,2021,2021,Panel,85,Organizer,
Un conjunto de paquetes para generar tutoriales interactivos para enseñar R,LatinR 2021 <- Conferencia Latinoamericana sobre Uso de R en Investigación + Desarrollo,,Latin America,Online,12/11/2021,2021,Regular Talk,1000,Speaker,
useR! 2021. The R Global Conference.,ETH. RFoundation,,Global,Online,,2021,Conference,2000,Chair,
Usos de la ciencia de datos en el sector agropecuario,Women in Data Science La Paz 2021,,Bolivia,Online,2021,2021,Invited Talk,54,Speaker,
Visualización ,Diploma de datos. Fundación Libertad. Rosario,,Latin America,Online,Octubre-Noviembre 2021,2021,Course,21,Teacher,
Visualización ,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,,Argentina,Online,,2021,Course,25,Teacher,
