Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links,title_clean
INTA. Radar Meteorologico,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,Octubre,2016,Exhibition,200,Speaker,,inta. radar meteorologico
La industria espacial al servicio del agro,,Santa Rosa,Argentina,In person,10/11/2016,2016,Podcast,1000,Speaker,https://inta.gob.ar/audios/la-industria-espacial-al-servicio-del-agro,la industria espacial al servicio del agro
La tarea del INTA en La Pampa,Facultad de Ciencias Humanas. Universidad Nacional de La Pampa,Santa Rosa,Argentina,In person,9 de noviembre de 2016.,2016,Invited Talk,18,Speaker,,la tarea del inta en la pampa
Propuesta para una Infraestructura de Datos Agropecuarios del Instituto Nacional de Tecnología Agropecuaria (INTA),AGRANDA Segundo simposio argentino de grandes datos.,Buenos Aires- Argentina.,Latin America,In person,6 y 7 de Septiembre de 2016.,2016,Lightning talk,60,Speaker,,propuesta para una infraestructura de datos agropecuarios del instituto nacional de tecnología agropecuaria (inta)
Radar Meteorológico,Radio con Voz/s,Santa Rosa,Argentina,In person,17/05/2016,2016,Podcast,500,Speaker,https://inta.gob.ar/audios/radar-meteorologico,radar meteorológico
Sistema de Información y base de datos para el inventario de recursos naturales de La Pampa,10º Simposio Argentino de Informática en el Estado.,Buenos Aires- Argentina.,Latin America,In person,7 al 9 de Septiembre de 2016.,2016,Regular Talk,70,Speaker,,sistema de información y base de datos para el inventario de recursos naturales de la pampa
Radar Meteorologico de INTA,De Frente al Campo,Santa Rosa,Argentina,In person,04/06/2016,2016,Podcast,2000,Speaker,https://youtu.be/WA9jZdrNqOs?si=ooZtlzZo7tmeDDE1,radar meteorologico de inta
9vo Congreso Argentino de AgroInformática. 44 JAIIO,SADIO-INTA.-UNC. Córdoba,Córdoba,Latin America,In person,7 y 8 de Septiembre de 2017,2017,Conference,200,Chair,,9vo congreso argentino de agroinformática. 44 jaiio
Agro geotecnologías: sobre estrellas y semillas,INTA-LANIC,San Luis- Argentina,Latin America,In person,05/12/2017,2017,Keynote,200,Speaker,https://yabellini.netlify.app/talk/2017_nic_latam/,agro geotecnologías: sobre estrellas y semillas
Agroinformática- el uso de la ciencia de los datos aplicada al sector agro para adquirir un mayor conocimiento,,Santa Rosa,Argentina,In person,29/06/2017,2017,Podcast,100,Speaker,https://inta.gob.ar/audios/entrevista-a-lic-en-sistemas-de-informacion-yanina-bellini-investigadora-de-estacion-experimental-de-inta-anguil-agroinformatica-el-uso-de-la-ciencia-de-los-datos-aplicada-al-sector-agro-para,agroinformática- el uso de la ciencia de los datos aplicada al sector agro para adquirir un mayor conocimiento
Caracterización de sistemas productivos pampeanos,EEA Anguil. Cambio Rural.,Anguil-Santa Rosa-Toay,Argentina,In person,02/06/2017,2017,Regular Talk,9,Speaker,https://inta.gob.ar/noticias/caracterizacion-de-sistemas-productivos-pampeanos,caracterización de sistemas productivos pampeanos
AgroMinería de Datos,Instituto Tecnológico de Educación Superior,Santa Rosa,Argentina,In person,22 de junio de 2017,2017,Invited Talk,26,Speaker,https://yabellini.netlify.app/talk/2017_ites_agromineria/,agrominería de datos
AgroTICs: llevando la informática al campo,Liceo Informático II,Santa Rosa,Argentina,In person,15 de mayo de 2017.,2017,Invited Talk,17,Speaker,https://yabellini.netlify.app/talk/2017_liceo/,agrotics: llevando la informática al campo
Herramienta de limpieza de datos: OpenRefine,Liceo Informático II,Santa Rosa,Argentina,In person,28 de julio de 2017.,2017,Invited Talk,6,Speaker,,herramienta de limpieza de datos: openrefine
R-Ladies Santa Rosa,Liceo Informático II,Santa Rosa,Argentina,In person,22 de junio de 2017.,2017,Invited Talk,26,Speaker,,r-ladies santa rosa
Registro de propiedad intelectual de software,Reunión PROFEDER Contratistas Rurales.,EEA Anguil.,Argentina,In person,30 de noviembre de 2017,2017,Regular Talk,7,Speaker,https://yabellini.netlify.app/talk/2017_profeder/,registro de propiedad intelectual de software
Serie de Charlas Técnicas: AgroTICs,Instituto de Formación Técnica y Docente de Trenque Lauquen. Tecnicatura en Producción Agricola-Ganadera,Anguil- La Pampa,Argentina,In person,03 de noviembre de 2017,2017,Regular Talk,15,Speaker,,serie de charlas técnicas: agrotics
Serie de Charlas Técnicas: GeoINTA y GeoTecnologías en la nube,,Santa Rosa,Argentina,In person,20 de octubre de 2017.,2017,Invited Talk,21,Speaker,,serie de charlas técnicas: geointa y geotecnologías en la nube
Clasificación de Sistemas Productivos Preponderantes utilizando técnicas de agrupamiento para la estimación de emisiones de Gases de Efecto Invernadero,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,Latin America,In person,04/09/2017,2017,Regular Talk,60,Speaker,,clasificación de sistemas productivos preponderantes utilizando técnicas de agrupamiento para la estimación de emisiones de gases de efecto invernadero
Introducción al Uso y Administración de espacios de colaboración de INTA,EEA Anguil,Anguil- La Pampa,Argentina,In person,Octubre a Noviembre de 2017,2017,Course,23,Teacher,,introducción al uso y administración de espacios de colaboración de inta
Base de Datos Relacionales para sistemas agropecuarios,EEA INTA Anguil,Anguil- La Pampa,Argentina,In person,16/06/2017 al 30/11/2017,2017,Course,9,Teacher,,base de datos relacionales para sistemas agropecuarios
Curso de capacitación interno sobre uso de web y espacios de colaboración.,EEA INTA Anguil,General Pico- La Pampa,Argentina,In person,27/11/2017,2017,Course,12,Teacher,,curso de capacitación interno sobre uso de web y espacios de colaboración.
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,marzo 2017,2017,Course,28,Teacher,,manejo de datos con herramientas libre
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,septiembre 2017,2017,Course,26,Teacher,,manejo de datos con herramientas libre
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,octubre 2017,2017,Course,23,Teacher,,manejo de datos con herramientas libre
AgroDatos abiertos en INTA,Clubes de Innovación,Municipalidad de Trenque Lauquen,Argentina,In person,26-10-2017,2017,Keynote,60,Speaker,https://yabellini.netlify.app/talk/2017_clubinnovacion/,agrodatos abiertos en inta
Hacia una Guía Digital Móvil para la identificación y manejo sustentable de los pastizales naturales,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,Latin America,In person,05/09/2017,2017,Regular Talk,60,Speaker,,hacia una guía digital móvil para la identificación y manejo sustentable de los pastizales naturales
Herramientas para el manejo de datos agropecuarios. Base de Datos Relacionales para sistemas agropecuarios,Liceo Informatico II. INTA,Santa Rosa y Anguil,Argentina,In person,16/06/2017 al 30/11/2017,2017,Course,15,Teacher,,herramientas para el manejo de datos agropecuarios. base de datos relacionales para sistemas agropecuarios
Herramientas para el manejo de datos agropecuarios. Google Earth,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,18/08/2017,2017,Course,15,Teacher,,herramientas para el manejo de datos agropecuarios. google earth
Herramientas para el manejo de datos agropecuarios. Google Sheets,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,Septiembre,2017,Course,15,Teacher,,herramientas para el manejo de datos agropecuarios. google sheets
Herramientas para el manejo de datos agropecuarios. OpenRefine,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,11/08/2017,2017,Course,15,Teacher,,herramientas para el manejo de datos agropecuarios. openrefine
Herramientas para el manejo de datos agropecuarios. Sistemas de información de INTA,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,25/08/2017,2017,Course,15,Teacher,,herramientas para el manejo de datos agropecuarios. sistemas de información de inta
Herramientas para el manejo de datos agropecuarios. Tableau.,Liceo Informatico II. INTA,Santa Rosa,Argentina,In person,04/08/2017,2017,Course,15,Teacher,,herramientas para el manejo de datos agropecuarios. tableau.
INTA. Radar Meteorologico,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,Octubre,2017,Exhibition,200,Speaker,,inta. radar meteorologico
R-Ladies Santa Rosa,Radio Noticias,Santa Rosa,Argentina,In person,20/04/2017,2017,Podcast,1000,Speaker,https://yabellini.netlify.app/talk/2017_elfaro_rladies/,r-ladies santa rosa
R-Ladies: Agroinformática y el rol de la mujer,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,Latin America,In person,05/09/2017,2017,Keynote,60,Speaker,https://yabellini.netlify.app/talk/2017_cai_clei/,r-ladies: agroinformática y el rol de la mujer
Resultados Convenio Comisiones de Estudio,Reuniones PRETs y Coordinadores de Área,"Anguil, La Pampa",Argentina,In person,24/11/2017,2017,Invited Talk,30,Speaker,https://yabellini.netlify.app/talk/2017_comisionestudios/,resultados convenio comisiones de estudio
"R-Ladies Santa Rosa, ¿porqué y para qué?",Instituto Tecnológico de Educación Superior,"Santa Rosa, La Pampa",Argentina,In person,22/06/2017,2017,Invited Talk,35,Speaker,https://yabellini.netlify.app/talk/2017_ites_rladies/,"r-ladies santa rosa, ¿porqué y para qué?"
¿Cómo profundizar la convergencia entre Internet y producción,Seminario web “Internet y producción: hacia la convergencia en el agro”.,San Luis,Latin America,In person,17 de mayo de 2018.,2018,Panel,200,Speaker,https://inta.gob.ar/eventos/internet-y-produccion-hacia-la-convergencia-en-el-agro,¿cómo profundizar la convergencia entre internet y producción
1 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,47 JAIIO,Universidad de Palermo. Buenos Aires,Latin America,In person,3 al 5 de Septiembre de 2018,2018,Conference,200,Organizer,https://47jaiio.sadio.org.ar/index.php?q=node/125,1 latinr <- conferencia latinoamericana de r en investigación y desarrollo
10vo Congreso Argentino de AgroInformática. 45 JAIIO,INTA-SADIO.,Buenos Aires,Latin America,In person,septiembre de 2018,2018,Conference,300,Chair,,10vo congreso argentino de agroinformática. 45 jaiio
Análisis de clustering en una región de La Pampa para clasificar sistemas ganaderos preponderantes y estimar emisiones de gases de efecto invernadero,CAI 2018 - Congreso Argentino de AgroInformática,,Latin America,In person,05/09/2018,2018,Regular Talk,1000,Speaker,,análisis de clustering en una región de la pampa para clasificar sistemas ganaderos preponderantes y estimar emisiones de gases de efecto invernadero
Cambio climático,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,05/07/2018,2018,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-ing-rrnn-anabella-lozza-y-a-la-lic-yanina-bellini-cambio-climatico,cambio climático
GeoINTA y Geotecnologías en la nube.,Visita Alumnos Colegio secundario Enrique Stieben de Anguil. EEA Anguil.,Anguil- La Pampa,Argentina,In person,miércoles 6 de junio de 2018,2018,Regular Talk,35,Speaker,,geointa y geotecnologías en la nube.
Congreso Argentino de Agroinformática: Un análisis bibliometrico,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,2018,Regular Talk,200,Speaker,,congreso argentino de agroinformática: un análisis bibliometrico
Congreso de Agroinformática 2018,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,13/09/2018,2018,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-lic-yanina-bellini-saibene-congreso-de-agroinformatica-2018,congreso de agroinformática 2018
Manejo de datos con herramientas libre,INTA - Universidad Nacional de La Pampa (UNLPam),Santa Rosa- La Pampa,Argentina,In person,03/07/2018,2018,Course,50,Teacher,,manejo de datos con herramientas libre
Evaluación del desempeño de productos satelitales para estimar precipitación en Córdoba (Argentina),CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,05/09/2018,2018,Regular Talk,,Speaker,,evaluación del desempeño de productos satelitales para estimar precipitación en córdoba (argentina)
La comunidad del lenguaje R en Santa Rosa,R-Ladies Santa Rosa y PampaSeg,Prado Español- Santa Rosa,Latin America,In person,23/11/2018,2018,Invited Talk,,Speaker,,la comunidad del lenguaje r en santa rosa
Monitoreo móvil del programa ProHuerta en La Pampa,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,05/09/2018,2018,Regular Talk,,Speaker,,monitoreo móvil del programa prohuerta en la pampa
Primer Workshop Inundaciones y geotecnologías aplicadas: interinstitucionalidad y compromiso social,UNLPam-INTA,Santa Rosa,Argentina,In person,28 y 29 de Agosto de 2018,2018,Conference,,Organizer,https://inta.gob.ar/eventos/primer-workshop-inundaciones-y-geotecnologias-aplicadas-interinstitucionalidad-y-compromiso-social,primer workshop inundaciones y geotecnologías aplicadas: interinstitucionalidad y compromiso social
Relevamiento de la Agricultura Periurbana en una microregión de La Pampa,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,2018,Regular Talk,,Speaker,,relevamiento de la agricultura periurbana en una microregión de la pampa
Seminario Charlando sobre brecha de género en STEM: AgroInformática y R-Ladies.,EEA Anguil.,Anguil- La Pampa,Argentina,In person,19 de abril de 2018.,2018,Regular Talk,,Speaker,,seminario charlando sobre brecha de género en stem: agroinformática y r-ladies.
Setup R Day,R-Ladies Santa Rosa,INTA Santa Rosa,Argentina,In person,26/02/2018,2018,Course,,Teacher,,setup r day
Tendências de pesquisa em Agroinformática na Argentina: uma análise histórica,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,Latin America,In person,06/09/2018,2018,Regular Talk,,Speaker,,tendências de pesquisa em agroinformática na argentina: uma análise histórica
20 años de desarrollo AgTech en la EEA Anguil,Consejo Regional La Pampa San Luis,"victorica, La Pampa",Argentina,In person,agosto de 2018,2018,Invited Talk,25,Speaker,,20 años de desarrollo agtech en la eea anguil
Mirando la producción de los Proyectos Regionales con Enfoque Territorial (PRETs) EEA Anguil,Consejo Regional La Pampa San Luis,"Anguil, La Pampa",Argentina,In person,26/12/2018,2018,Invited Talk,30,Speaker,,mirando la producción de los proyectos regionales con enfoque territorial (prets) eea anguil
10 años de la Red de Radares,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,08/08/2019,2019,Podcast,1000,Speaker,https://inta.gob.ar/audios/entrevista-a-la-ing-agr-laura-belmonte-y-la-lic-yanina-bellini-saibene-10-anos-de-la-red-de-radares,10 años de la red de radares
10 años del radar de Anguil.,EEA Anguil. Alumnos del colegio secundario de Anguil.,Anguil,Argentina,In person,11/10/2019,2019,Regular Talk,35,Speaker,,10 años del radar de anguil.
11vo Congreso Argentino de AgroInformática. 46 JAIIO,INTA-SADIO.,Salta,Argentina,In person,septiembre 2019,2019,Conference,300,Chair,,11vo congreso argentino de agroinformática. 46 jaiio
2 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,R-Ladies- RConsortium- RFoundation,Santiago de Chile,Chile,In person,,2019,Conference,200,Organizer,,2 latinr <- conferencia latinoamericana de r en investigación y desarrollo
Análise das Tendências de pesquisa no Congresso de Agroinformática da Argentina: um estudo regional,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Argentina,In person,2019,2019,Regular Talk,50,Speaker,,análise das tendências de pesquisa no congresso de agroinformática da argentina: um estudo regional
Aplicaciones de Ciencia de Datos.,Seminario de aplicación. UADE.,Online,Argentina,Online,04/11/2019,2019,Invited Talk,,Speaker,,aplicaciones de ciencia de datos.
Becas de diversidad rstudio::conf 2020. Te ayudamos a presentar tu postulación!,R-Ladies Santa Rosa,Prado Español- Santa Rosa,Latin America,In person,Friday- September 13- 2019,2019,Course,,Organizer,,becas de diversidad rstudio::conf 2020. te ayudamos a presentar tu postulación!
Ciencia de Datos aplicada al Agro.,Jornada Trabajos de Sistemas. Colegio Universitario Liceo Informático II. EEA Anguil,Anguil- La Pampa,Argentina,In person,15/11/2019,2019,Regular Talk,,Speaker,,ciencia de datos aplicada al agro.
Ciencia de Datos aplicada al Agro.,INTA Anguil. Radio Nacional. INTA con Vos/z,Santa Rosa,Argentina,In person,11/04/2019,2019,Podcast,,Speaker,https://inta.gob.ar/audios/entrevista-a-la-lic-yanina-bellini-ciencia-de-datos-aplicada-al-agro,ciencia de datos aplicada al agro.
Ciencia de Datos con el Radar Meteorológico,AMUCAN,Santa Rosa,Argentina,In person,24/08/2019,2019,Podcast,,Speaker,,ciencia de datos con el radar meteorológico
Conjunto de datos de imágenes etiquetadas para el desarrollo de aplicaciones de reconocimiento de patrones en el cultivo de girasol,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,,conjunto de datos de imágenes etiquetadas para el desarrollo de aplicaciones de reconocimiento de patrones en el cultivo de girasol
Conjunto de datos de resultados de la Red Nacional de Cultivares de Girasol de INTA,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,,conjunto de datos de resultados de la red nacional de cultivares de girasol de inta
Google Earth Engine desde Cero,Universidad Nacional de Salta,Salta,Latin America,In person,17/09/2019,2019,Course,,Teacher,,google earth engine desde cero
Curso R desde Cero.,INTA. R-Ladies Santa Rosa.,Prado Español- Santa Rosa,Argentina,In person,7 asl 28 de Mayo de 2019,2019,Course,,Teacher,,curso r desde cero.
Curso R desde Cero.,Universidad Nacional de Salta.,Salta,Latin America,In person,17/09/2019,2019,Course,,Teacher,,curso r desde cero.
Exploración de Datos,Fundación Banco de La Pampa,Fundación Banco de La Pampa,Argentina,In person,Octubre-Noviembre,2019,Course,15,Teacher,,exploración de datos
Exploración de Datos,Fundación Banco de La Pampa,Fundación Banco de La Pampa,Argentina,In person,Octubre-Noviembre,2019,Course,12,Teacher,,exploración de datos
Desarrollo AgTech con Ciencia de Datos,Taller Argentino de Computación Científica (TAC²).,Universidad Nacional de San Luis (UNSL).,Latin America,In person,5/12/2019,2019,Keynote,80,Speaker,,desarrollo agtech con ciencia de datos
Evaluación del desempeño de productos satelitales para estimar evapotranspiración en la región pampeana (Argentina),11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,,evaluación del desempeño de productos satelitales para estimar evapotranspiración en la región pampeana (argentina)
Geotecnologías en la era del Big Data.,2019GISDay,UNLPam. Instituto de Geografía.,Argentina,In person,13/11/2019,2019,Keynote,200,Speaker,,geotecnologías en la era del big data.
Geotecnologías en la Nube,Universidad Nacional de La Pampa. Carrera de Geografía,Santa Rosa,Argentina,In person,30/10/2019,2019,Invited Talk,,Speaker,,geotecnologías en la nube
Modeling with H2O with R,LatinR 2019,Santiago de Chile,Chile,In person,2019,2019,Course,30,Teacher Assistant,,modeling with h2o with r
Panel comunidades de práctica: R-Ladies,LatinR 2019,Santiago de Chile,Chile,In person,25/09/2019,2019,Panel,,Speaker,,panel comunidades de práctica: r-ladies
Quién es Quién en la Agroinformática Argentina,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,Latin America,In person,2019,2019,Regular Talk,50,Speaker,,quién es quién en la agroinformática argentina
R para análisis científicos reproducibles,INTA Castelar,Castelar- Buenos Aires- Argentina,Argentina,In person,06/08/2019,2019,Course,84,Teacher,,r para análisis científicos reproducibles
Radar Meteorológico: uso e interpretación de su información y productos,UNLPam-INTA,Facultad de Agromia de la UNLPam,Argentina,In person,14/08/2019,2019,Course,,Teacher,https://inta.gob.ar/eventos/radar-meteorologico-uso-e-interpretacion-de-su-informacion-y-productos,radar meteorológico: uso e interpretación de su información y productos
RMarkdown: generando reportes automáticos con R,11° PampaSeg. Santa Rosa- La Pampa.,Santa Rosa- La Pampa,Latin America,In person,14/12/2019,2019,Course,,Teacher,,rmarkdown: generando reportes automáticos con r
Técnicas de Análisis de Redes Sociales para estudiar la colaboración científica,Seminarios INTA Anguil,Anguil,Argentina,In person,04/06/2019,2019,Invited Talk,,Speaker,https://inta.gob.ar/noticias/seminario-inta-anguil-tecnicas-de-analisis-de-redes-sociales-para-estudiar-la-colaboracion-cientifica,técnicas de análisis de redes sociales para estudiar la colaboración científica
Ciencia de Datos aplicada al Agro.,De Fernte Al Campo,Santa Rosa,Argentina,In person,03/05/2019,2019,Podcast,2000,Speaker,https://youtu.be/X9L8PsDwod4?si=WZ1m2Uu_sLgiGlFp,ciencia de datos aplicada al agro.
¡Cierre del año y Tidymodels!,R-Ladies Argentina,,Argentina,Online,2020,2020,Course,40,Organizer,,¡cierre del año y tidymodels!
12vo Congreso Argentino de AgroInformática. 47 JAIIO,INTA-SADIO.,,Latin America,Online,octubre de 2020,2020,Conference,1000,Chair,,12vo congreso argentino de agroinformática. 47 jaiio
3 LatinR <- Conferencia Latinoamericana de R en Investigación y Desarrollo,Profesionales,,Latin America,Online,Online,2020,Conference,1000,Chair,,3 latinr <- conferencia latinoamericana de r en investigación y desarrollo
49 Jornadas Argentinas de Informática.,SADIO – FIUBA,,Latin America,Online,Online,2020,Conference,1000,Chair,,49 jornadas argentinas de informática.
Ciencia de Datos aplicada al Agro.,Clase invitada a la cátedra de AgroTICs de Ingeniería Agronómica. UN de Río Negro.,Rio Negro,Argentina,Online,22/04/2020,2020,Invited Talk,30,Speaker,,ciencia de datos aplicada al agro.
Ciencia de Datos aplicada al sector agropecuario.,Diplomatura Universitaria en Inteligencia Artificial. UNICEN.,Tandil,Argentina,Online,17/11/2020,2020,Invited Talk,65,Speaker,,ciencia de datos aplicada al sector agropecuario.
Ciencia de Datos aplicadas al sector agropecuario.,Ciclo de Charlas de R-Ladies La Paz. Bolivia-,La Paz,Bolivia,Online,04/06/2020,2020,Invited Talk,35,Speaker,,ciencia de datos aplicadas al sector agropecuario.
Ciencias de Datos en el sector agropecuario.,Seminario de matemática aplicada. FAMAF (UNC).,Cordoba,Argentina,Online,14/09/2020,2020,Invited Talk,60,Speaker,,ciencias de datos en el sector agropecuario.
Como organizar un evento virtual inolvidable (y no morir en el intento).,R-Ladies Global  para el mundo hispanohablante (Se organiza con Argentina- Chile- Perú- Bolivia- España y Ecuador).,,Global,Online,01/07/2020,2020,Course,200,Teacher,,como organizar un evento virtual inolvidable (y no morir en el intento).
Comunicando con posters,Proyecto Internacional de la Alfabetización Estadística,,Bolivia,Online,12/12/2020,2020,Invited Talk,150,Speaker,,comunicando con posters
Comunidades de práctica en América Latina: R y Colegas.,useR! 2020,,Global,Online,11/07/2020,2020,Invited Talk,200,Speaker,,comunidades de práctica en américa latina: r y colegas.
Comunidades de práctica para I+D y T+E: R y colegas. Seminario,Plataforma de Asistencia Estadística del INTA.,,Argentina,Online,23/10/2020,2020,Invited Talk,80,Speaker,,comunidades de práctica para i+d y t+e: r y colegas. seminario
Cosechando Datos: el manejo de la información digital.,Webinario Agricultura de Precisión: “El INTA y la Agricultura Digital”.,,Argentina,Online,22/09/2020,2020,Invited Talk,1000,Speaker,,cosechando datos: el manejo de la información digital.
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,29/05/2020,2020,Course,20,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,16/05/2020,2020,Course,21,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,09/05/2020,2020,Course,23,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,02/05/2020,2020,Course,26,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,25/04/2020,2020,Course,21,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia/INTA,,Argentina,Online,18/04/2020,2020,Course,18,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,14/04/2020,2020,Course,17,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,11/04/2020,2020,Course,20,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,04/04/2020,2020,Course,21,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,03/04/2020,2020,Course,25,Teacher,,introducción al abc para enseñar online
Introducción al ABC para enseñar Online,MetaDocencia,,Argentina,Online,28/03/2020,2020,Course,20,Teacher,,introducción al abc para enseñar online
Curso RADAR Meteorológico.,INTA,,Argentina,Online,22/05/2020,2020,Course,25,Teacher,,curso radar meteorológico.
Generando tutoriales interactivos con el paquete learnr.,Conferencia LatinR,,Latin America,Online,3/10/2020,2020,Course,28,Teacher,,generando tutoriales interactivos con el paquete learnr.
Introducción al ABC para enseñar Online,Conferencia LatinR,,Latin America,Online,02/10/2020,2020,Course,17,Teacher,,introducción al abc para enseñar online
Datos Masivos en el sector Agropecuario,Diploma en nuevas tecnologías en el agro. Universidad de la Empresa (Uruguay),,Latin America,Online,junio 2020,2020,Course,18,Teacher,,datos masivos en el sector agropecuario
Datos Masivos en Politicas Publicas,Diplomatura en Ciencia de Datos aplicadas a politicas públicas,,Argentina,Online,,2020,Course,25,Teacher,,datos masivos en politicas publicas
Geotecnologías para el monitoreo y cuantificación de inundaciones.,Hidrología Pampeana Aplicada,,Argentina,Online,28/04/2020,2020,Invited Talk,60,Speaker,,geotecnologías para el monitoreo y cuantificación de inundaciones.
Hacia una red de práctica sobre comunidades de práctica.,Noviembre HD. Asociación Argentina de Humanidades Digitales.,,Argentina,Online,12/11/2020,2020,Panel,100,Speaker,,hacia una red de práctica sobre comunidades de práctica.
Intro al ABC para dar clases (y hacer otras cosas Online).,Red INTA Joven,,Argentina,Online,24/07/2020,2020,Course,21,Teacher,,intro al abc para dar clases (y hacer otras cosas online).
Intro al ABC para dar clases (y hacer otras cosas Online).,Red INTA Joven y MetaDocencia,,Argentina,Online,20/07/2020,2020,Course,18,Teacher,,intro al abc para dar clases (y hacer otras cosas online).
Intro al ABC para dar clases (y hacer otras cosas Online).,Red INTA Joven y MetaDocencia,,Argentina,Online,18/07/2020,2020,Course,23,Teacher,,intro al abc para dar clases (y hacer otras cosas online).
Intro al ABC para dar clases (y hacer otras cosas) Online,INTA Anguil,,Argentina,Online,30/07/2020,2020,Course,15,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Intro al ABC para dar clases (y hacer otras cosas) Online,INTA San Luis,,Argentina,Online,28/07/2020,2020,Course,16,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Intro al ABC para dar clases (y hacer otras cosas) Online,Centro Regional La Pampa/San Luis INTA,,Argentina,Online,23/07/2020,2020,Course,14,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Intro al ABC para dar clases (y hacer otras cosas) Online,Agencias de Extensión INTA Anguil,,Argentina,Online,21/07/2020,2020,Course,21,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Intro al ABC para dar clases (y hacer otras cosas) Online,Agencias de Extensión INTA Villa Mercedes,,Argentina,Online,16/07/2020,2020,Course,13,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Intro al ABC para dar clases (y hacer otras cosas) Online,Area de Administración y Apoyo Técnico de Anguil INTA,,Argentina,Online,14/07/2020,2020,Course,15,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Intro al ABC para dar clases (y hacer otras cosas) Online,Area de Administración y Apoyo Técnico de Villa Mercedes INTA,,Argentina,Online,07/07/2020,2020,Course,23,Teacher,https://yabellini.netlify.app/courses/introalabc_corto/,intro al abc para dar clases (y hacer otras cosas) online
Introducción a Git (control de versiones) y como usarlo con R y RStudio.,R-Ladies,,Argentina,Online,18/05/2020,2020,Course,60,Teacher,,introducción a git (control de versiones) y como usarlo con r y rstudio.
