Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links,title_clean
Estimaciones agricolas con imágenes satelitales,VII Jornadas Pampeanas de Ciencias Naturales,Consejo Profesional de Ciencias Naturales de La Pampa y Facultad de Ciencias Exactas y Naturales- UNLPam,Argentina,In person,diciembre 1999,1999,Lightning talk,30,Speaker,,estimaciones agricolas con imágenes satelitales
SIG y Teledetección,73º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa-,Santa Rosa,Argentina,In person,septiembre de 1999,1999,Exhibition,200,Speaker,,sig y teledetección
AgroRADAR,VII Encuentro de la Asociación Panamericana De Bolsas De Productos,Buenos Aires- Argentina,Latin America,In person,15- 16 y 17 de Noviembre de 2000,2000,Invited Talk,200,Speaker,,agroradar
Bases de Datos y SQL,EEA Anguil,Anguil- La Pampa,Argentina,In person,marzo 2000,2000,Course,10,Teacher,,bases de datos y sql
Los números del Girasol en La Pampa,Jornada Presente y Futuro del Girasol para la región subhumeda y semiárida pampeana,Santa Rosa,Argentina,In person,1 de septiembre de 2000,2000,Invited Talk,200,Speaker,,los números del girasol en la pampa
SIG y Teledetección,74º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,7 y 8 de Octubre de 2000,2000,Exhibition,200,Speaker,,sig y teledetección
Sistemas de Procesamiento de Datos,Carrera Auditoria Bancaria,CENT N°1. Santa Rosa,Argentina,In person,Marzo-Diciembre 2000,2000,Course,32,Teacher,,sistemas de procesamiento de datos
Teledetección en el Agro,Exposición Rural de Realico,Realicó,Argentina,In person,15- 16 y 17 de Septiembre de 2000,2000,Exhibition,200,Speaker,,teledetección en el agro
Manejo de la Información de AgroRADAR,Ronda de Trigo 2001,Este de La Pampa-Suroeste de Buenos Aires,Argentina,In person,12 al 16 de Noviembre de 2001,2001,Exhibition,80,Organizer,,manejo de la información de agroradar
Sistemas de Información Geográficos en el Agro,75º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,7 y 8 de Octubre de 2001,2001,Exhibition,200,Speaker,,sistemas de información geográficos en el agro
Jornada de Calidad Agroalimentaria y Trazabilidad,Profesionales,EEA INTA Anguil. Anguil- La Pampa,Argentina,In person,15 de agosto de 2002,2002,Conference,70,Organizer,,jornada de calidad agroalimentaria y trazabilidad
Jornada de Sustentabilidad e Incertidumbre,Profesionales,EEA INTA Anguil. Anguil- La Pampa,Argentina,In person,13 de junio de 2002,2002,Conference,60,Organizer,,jornada de sustentabilidad e incertidumbre
