Title,Year,Type_Long,Type,Link,En_mi_web
Horizonte agropecuaria pampeano puntano Nº 114 Mayo 2018,2018,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/horizonte-agropecuaria-pampeano-puntano-no-114-mayo-2018,
Introducción a las nuevas tecnologías. Zinda Roberto; Lorena Carreño; Celeste Martínez Uncal; Yanina Noemí Bellini Saibene. “Introducción a las nuevas tecnologías”. Capítulo 1 del libro “Potencialidades de las nuevas tecnologías en el agropampeano”. ISBN 978-987-521-949-6. Ediciones INTA. Septiembre de 2018.,2018,Book Chapters,Book Chapters,https://inta.gob.ar/documentos/potencialidades-de-las-nuevas-tecnologias-en-el-agropampeano,
Oferta hídrica y problemática de escasez en la cuenca del rio colorado. Roberto Mariano; Fernanda Gaspari; Yanina Bellini. 5º Congreso Pampeano del Agua. Marzo de 2018. Aceptado para Exposición Oral.,2018,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,,
"Oportunidades ante el cambio climático. Lozza, Anabella, Bellini Saibene, Yanina. La Arena del Campo. 20 de Enero de 2018.",2018,Popular science articles,Popular science articles,,
Resultados del 10º Congreso Argentino de AgroInformática 2018,2018,Noticia,Blog post,https://inta.gob.ar/documentos/resultados-del-10o-congreso-argentino-de-agroinformatica-2018,
Se desarrolló en Santa Rosa el primer workshop de Inundaciones,2018,Noticia,Blog post,https://inta.gob.ar/noticias/se-desarrollo-en-santa-rosa-el-primer-workshop-de-inundaciones,
Alumnos del Liceo Informático visitaron INTA Anguil,2019,Noticia,Blog post,https://inta.gob.ar/noticias/alumnos-del-liceo-informatico-visitaron-inta-anguil,Si
"Análise das Tendências de pesquisa no Congresso de Agroinformática da Argentina: um estudo regional. Alfredo Parteli Gomes, Bruno Ernesto Techera da Motta, Sandro da Silva Camargo, Yanina Bellini Saibene. Congreso Argentino de AgroInformática 2019",2019,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,http://170.210.201.137/pdfs/cai/CAI-18.pdf,
Análisis de la participación de la mujer en la informática aplicada al sector agropecuario en Argentina. Yanina Bellini Saibene and Marina Cock. LatinR 2019.,2019,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2019/blob/master/presentaciones/LatinR2019_paper_49.pdf,
Análisis de las precipitaciones del 19 de agosto en La Pampa utilizando el Radar meteorológico,2019,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/analisis-de-las-precipitaciones-del-19-de-agosto-en-la-pampa-utilizando-el-radar-meteorologico,Si
Campaña de Twitter de R-Ladies IWD 2019. Explicando el proyecto de twitter para el IWD 2019,2019,Blog post,Blog post,,Si
Comunidades de práctica en américa latina. Mesa temática. BLatinR 2019.,2019,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2019#mesa-tem%C3%A1tica-comunidades---presentaci%C3%B3n-laura-acion,
Congreso Argentino de Agroinformática 2019 - Prórroga para presentar trabajos,2019,Noticia,Blog post,https://inta.gob.ar/noticias/congreso-argentino-de-agroinformatica-2019-prorroga-para-presentar-trabajos,
"Conjunto de datos de imágenes etiquetadas para el desarrollo de aplicaciones de reconocimiento de patrones en el cultivo de girasol. Alexandra Dillchneider, Javier Berger, Yanina Bellini Saibene, Elke Noellemeyer. Congreso Argentino de AgroInformática 2019 ",2019,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,http://170.210.201.137/pdfs/cai/CAI-29.pdf,
"Conjunto de datos de resultados de la Red Nacional de Cultivares de Girasol de INTA. Juan Marcelo Caldera, Daniel Funaro, Lucio García, Julian Muñoz, Joaquin Seitz, Yanina Noemi Bellini Saibene. Congreso Argentino de AgroInformática 2019 ",2019,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,http://170.210.201.137/pdfs/cai/CAI-28.pdf,
"Evaluación del desempeño de productos satelitales para estimar evapotranspiración en la región pampeana (Argentina). Miguel Nolasco, Silvina Sayago, Gustavo Ovando, Yanina Bellini, Maria Laura Belmonte, Mónica Bocco. Congreso Argentino de AgroInformática 2019",2019,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,http://170.210.201.137/pdfs/cai/CAI-02.pdf,
"Eventos meteorológicos que contribuyeron a excesos hídricos en La Pampa y su impacto en las actividades agropecuarias. de La Pampa. Una mirada multidisciplinar. Eventos meteorológicos que contribuyeron a excesos hídricos en La Pampa y su impacto en las actividades agropecuarias. Capítulo 3 en el libro Las inundaciones en el Noreste de la provincia de La Pampa. Una mirada multidisciplinar. EdUNLPam. ISBN: 978-950-863-355-2Belmonte, M.; Gattinoni, N.; Godoy, A.; Bellini Saibene, Y.; Fuentes, M.",2019,Book Chapters,Book Chapters,,
Generando una nube de palabras con R,2019,Blog post,Blog post,,Si
"Geo tecnologías para el seguimiento de inundaciones en La Pampa. Geo tecnologías para el seguimiento de inundaciones en La Pampa. Capítulo 10 en el libro Las inundaciones en el Noreste de la provincia de La Pampa. Una mirada multidisciplinar. EdUNLPam. ISBN: 978-950-863-355-2 Bellini Saibene, Y.; Julio César Fernández",2019,Book Chapters,Book Chapters,,
Horizonte agropecuario pampeano puntano Nº 117,2019,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/horizonte-agropecuario-pampeano-puntano-no-117,Si
"Insights from the recent R community development and growth in Latin America. useR2019. 2019. Toulouse, France. L. Acion, Y. Bellini Saibene, E. Campitelli, P. Corrales, F. D'Andrea, N. da Silva, G. de Queiroz, D. Kozlowski, R. Quiroga",2019,Journals,Journals,,
"Insights from the recent R user community development and growth in Latin America. L Ación, Y Bellini, E Campitelli, P Corrales, F D’Andrea, N da Silva, G de Queiroz, D Kozlowski, R Quiroga. useR2019. 2019. Toulouse, France.",2019,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
IWD 2019 Twitter Action.,2019,Blog post,Blog post,,Si
La Ciencia de Datos al servicio del Agro,2019,Blog post,Blog post,,Si
Nueva Convocatoria del Congreso Argentino de Agroinformatica 2019,2019,Noticia,Blog post,https://inta.gob.ar/noticias/nueva-convocatoria-del-congreso-argentino-de-agroinformatica-2019,Si
"Quién es Quién en la Agroinformática Argentina. Congreso Argentino de AgroInformática 2019. Sandro da Silva Camargo, Leonardo Bidese de Pinho, Yanina Bellini Saibene.",2019,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,http://170.210.201.137/pdfs/cai/CAI-06.pdf,
"R para Ciencia de Datos. Marcela Alfaro, Mónica Alonso, Fernando Álvarez, Zulemma Bazurto, Yanina Bellini, Juliana Benítez, María Paula Caldas, Elio Campitelli, Florencia D’Andrea, Rocío Espada, Joshua Kunst, Patricia Loto, Pamela Matías, Lina Moreno, Paola Prieto, Riva Quiroga, Lucía Rodríguez, Mauricio Vargas, Daniela Vázquez, Melina Vidoni, Roxana N. Villafañe.",2019,Translations,Translations,https://es.r4ds.hadley.nz/,
Resultados del 11º Congreso de AgroInformática 2019,2019,Noticia,Blog post,https://inta.gob.ar/documentos/resultados-del-11o-congreso-de-agroinformatica-2019,Si
Se firmó un convenio de colaboración con la Facultad de Agronomía,2019,Noticia,Blog post,https://inta.gob.ar/noticias/se-firmo-un-convenio-de-colaboracion-con-la-facultad-de-agronomia,Si
Seminario INTA Anguil: Técnicas de Análisis de Redes Sociales para estudiar la colaboración científica,2019,Noticia,Blog post,https://inta.gob.ar/noticias/seminario-inta-anguil-tecnicas-de-analisis-de-redes-sociales-para-estudiar-la-colaboracion-cientifica,
¿Cómo armar salas pequeñas en Zoom?,2020,Blog post,Blog post,,Si
¿Porqué necesitas tener una página web personal?,2020,Blog post,Blog post,,Si
A crazy year in review,2020,Blog post,Blog post,,Si
