"Title","Year","Type_Long","Type","Link","En_mi_web"
"rOpenSci News Digest, April 2024",2024,"Article","Article","https://ropensci.org/blog/2024/04/22/ropensci-news-april-2024/",""
"rOpenSci News Digest, March 2024",2024,"Article","Article","https://ropensci.org/blog/2024/03/29/ropensci-news-march-2024/",""
"rOpenSci News Digest, February 2024",2024,"Article","Article","https://ropensci.org/blog/2024/02/23/news-february-2024/",""
"rOpenSci News Digest, January 2024",2023,"Article","Article","https://ropensci.org/blog/2024/01/25/news-january-2024/",""
"Mastodon Quick Start Guide",2024,"Article","Article","https://zenodo.org/records/14170125",""
"Play Book for the rOpenSci Champions Program",2024,"Open Source Project","Software","https://github.com/ropenscilabs/champions-program-playbook",""
"Nueva cohorte del Programa de Campeon(a|e)s rOpenSci",2025,"Blog Post","Blog","https://ropensci.org/es/blog/2025/03/10/campeones-america-latina/",""
"Apoyar a los mentores y mentoras de rOpenSci con herramientas prácticas",2025,"Blog Post","Blog","https://ropensci.org/es/blog/2025/04/08/mentoring-tools/",""
"Nuevo equipo de mentor(a|e)s, el mismo espíritu de ciencia abierta",2025,"Blog Post","Blog","https://ropensci.org/es/blog/2025/06/05/mentors-2025/",""
"Presentación de la Guía de localización y traducción de rOpenSci",2024,"Blog Post","Blog","https://ropensci.org/es/blog/2024/12/17/guia-localizacion/",""
"Publication multilingue : Questions fréquemment posées",2025,"Blog Post","Blog","https://ropensci.org/fr/blog/2025/06/23/publication-multilingue-faq/",""
"Ciencia abierta con identidad latinoamericana: conocé al nuevo grupo de personas y proyectos del Programa de Campeon(e|a)s de rOpenSci",2025,"Blog Post","Blog","https://ropensci.org/es/blog/2025/07/03/champions-2025/",""
"Reemplazando la torre de Babel: herramientas para documentos multilingües en R",2024,"Article","Article","https://latinr.org/",""
"inventarioRRNN. Un paquete de datos en R para abrir datos de recursos naturales de La Pampa. ",2024,"Article","Article","https://latinr.org/",""
"Recognition Beyond Blog Post Authors",2025,"Blog Post","Blog","https://ropensci.org/blog/2025/10/14/blog-roles/",""
"Reconnaissance au-delà des auteur·rice·s de billets de blog",2025,"Blog Post","Blog","https://ropensci.org/fr/blog/2025/10/14/reconnaissance-blog/",""
"Reconociendo contribuciones más allá de la autoría en los artículos de blog",2025,"Blog Post","Blog","https://ropensci.org/es/blog/2025/10/14/reconocimiento_blog/",""
"Open Science & Open Source Ecosystem Map",2025,"Article","Article","https://yabellini.github.io/opensiciencemapping/",""
"Comment traduire un billet de blog Hugo avec Babeldown",2023,"Blog Post","Blog","https://ropensci.org/fr/blog/2023/09/26/comment_traduire_un_billet_de_blog_hugo_avec_babeldown/",""
