Title,Year,Type_Long,Type,Link
"Identificación de Sistemas Productivos Preponderantes en una zona de la provincia de La Pampa utilizando técnicas de DataMining. Bellini Saibene, Yanina; Iturrioz, Gabriela, Lorda, Héctor. Anales Congreso Argentino de AgroInformática 2013. ISSN: 1852-4850. Editor: SADIO. 16 al 20 de Septiembre de 2013, Córdoba.",2013,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/identificacion-de-sistemas-productivos-preponderantes-en-una-zona-de-la-provincia-de-la-pampa-utilizando-tecnicas-de-datamining
Boletín RIAN La Pampa - San Luis - Agosto 2012- Nro 91,2012,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-2012-nro-91
Boletín RIAN La Pampa - San Luis - Diciembre 2012- Nro 94,2012,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2012-nro-94
Boletín RIAN La Pampa - San Luis - Junio 2012- Nro 90,2012,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-2012-nro-90
Boletín RIAN La Pampa - San Luis - Octubre 2012- Nro 93,2012,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2012-nro-93
Boletín RIAN La Pampa - San Luis - Septiembre 2012- Nro 92,2012,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-2012-nro-92
El Trigo en la Vidriera,2012,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/el-trigo-en-la-vidriera
"Identificación de granizo con la utilización de variables polarimetricas de los radares de Paraná y Anguil, el radar de Pergamino y daño en cultivos. Romina Nahir Mezher, Santiago Banchero y Yanina Bellini. CongreMet XI. XI Congreso Argentino de Meteorología. 28 de Mayo al 1 de Junio de 2012. Mendoza, Argentina.",2012,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,
"Radar Meteorológico INTA. Bellini Yanina, Casagrande Guillermo. Revista 365. Pág. 18 y 19. Abril del 2012.",2012,Popular science articles,Popular science articles,
Anuario RIAN-RIAP 2005-2006. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 101. Febrero 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,
Anuario RIAN-RIAP 2006-2007. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 102. Febrero 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/anuario-rian-riap-2006-2007
Anuario RIAN-RIAP 2007-2008. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 103. Marzo 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/sistema-multimedial-anuario-rian-2007-2008
Anuario RIAN-RIAP 2008-2009. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 104. Junio 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/anuario-rian-riap-2008-2009
Anuario RIAN-RIAP 2009-2010. Bellini Saibene Yanina; Schaab Lucas; Lucas Ramos; Belmonte Laura; Fuentes María Elena. Boletín de Divulgación Técnica Nº 105. Octubre 2011. ISSN 0325-2167. Ediciones INTA.,2011,Journals,Journals,https://inta.gob.ar/documentos/anuario-rian-riap-2009-2010
Boletín RIAN La Pampa - San Luis - Agosto 2011- Nro 86,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2011-nro-86
Boletín RIAN La Pampa - San Luis - Diciembre 2010-Enero 2011- Nro 83,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2010-enero-2011-nro-83
Boletín RIAN La Pampa - San Luis - Julio 2011- Nro 85,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-julio-2011-nro-85
Boletín RIAN La Pampa - San Luis - Junio 2011- Nro 84,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-2011-nro-84
Boletín RIAN La Pampa - San Luis - Noviembre 2011- Nro 89,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-noviembre-2011-nro-89
Boletín RIAN La Pampa - San Luis - Octubre 2011- Nro 88,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-octubre-2011-nro-88
Boletín RIAN La Pampa - San Luis - Septiembre 2011- Nro 87,2011,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-septiembre-2011-nro-87
"Caracterización económica-productiva de los sistemas productivos preponderantes de la provincia de La Pampa, Argentina. Iturrioz Gabriela, Lorda Héctor, Bellini Saibene Yanina, Torrado Roberto, Taié Armando, Caldera Juan. III CONGRESO REGIONAL DE ECONOMIA AGRARIA. Valdivia, Chile. 9 al 11 de noviembre de 2011.",2011,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,
Desarrollo de un sistema de gestión apícola,2011,Tesis,Book,https://inta.gob.ar/documentos/desarrollo-de-un-sistema-de-gestion-apicola
"El uso de AgroTICs para generar las cartas agroclimáticas de la provincia de La Pampa. Bellini Saibene, Yanina; Ramos, Lucas; Casagrande, Guillermo; Vergara Graciela. Tercer Congreso Argentino de Agro informática. ISSN: 1852-4850. Editor: SADIO. 30 y 31 de Agosto de 2011.",2011,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/el-uso-de-agrotics-para-generar-las-cartas-agroclimaticas-de-la-provincia-de-la-pampa
"Manuales de campo de la RIAN para dispositivos móviles. Herrera, Germán; Escobar, Guillermo; Schaab, Lucas; Bellini Saibene, Yanina; Caldera, Juan; Ramos, Lucas. Tercer Congreso Argentino de Agro informática. ISSN: 1852-4850. Editor: SADIO. 30 y 31 de Agosto de 2011.",2011,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/manuales-de-campo-de-la-rian-para-dispositivos-moviles
Metodología utilizada para el manejo de la información en AgroRADAR,2011,Articulo de Divulgación,Popular science articles,https://inta.gob.ar/documentos/metodologia-utilizada-para-el-manejo-de-la-informacion-en-agroradar
"Minería de datos: el que busca, encuentra. Bellini Saibene, Yanina. Horizonte Agropecuario Pampeano-Puntano. Julio 2011. ISSN 0327-3180. Ediciones INTA.",2011,Popular science articles,Popular science articles,
Trigo. Manual de campo,2011,Colaboración,Book Chapters,https://inta.gob.ar/documentos/trigo-manual-de-campo
Yerba mate. Manual de campo,2011,Colaboración,Book Chapters,https://inta.gob.ar/documentos/yerba-mate-manual-de-campo
"Alarmas Agropecuarias a Teléfonos Celulares. Bellini Saibene Yanina, Suarez Armando, Schaab Lucas, Figueruelo Andrea. 4to Simposio de Informática en el Estado. ISSN: 1851-2526. 30 de Agosto al 3 de Septiembre de 2010.",2010,"En Congresos, Seminarios, Simposios y Jornadas Nacionales",National Conferences,https://inta.gob.ar/documentos/alarmas-agropecuarias-a-telefonos-celulares
Boletín RIAN La Pampa - San Luis - Agosto 2010- Nro 78,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2010-78
Boletín RIAN La Pampa - San Luis - Agosto 2010- Nro 79,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-agosto-2010-79
Boletín RIAN La Pampa - San Luis - Diciembre 2009- Nro 73,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-diciembre-2009-73
Boletín RIAN La Pampa - San Luis - Enero 2010- Nro 74,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-enero-2010-74
Boletín RIAN La Pampa - San Luis - Febrero 2010- Nro 75,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-febrero-2010-75
Boletín RIAN La Pampa - San Luis - Junio-Julio 2010- Nro 77,2010,Newsletter,Popular science articles,https://inta.gob.ar/documentos/boletin-rian-la-pampa-san-luis-junio-julio-2010-77
