"Nombre","Institucion.Evento","Ciudad","Lugar","Formato","Fecha","anio","Tipo","Cantidad","Rol","Links"
"LLMs en tu PC: Inteligencia Artificial Generativa en forma local.",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.cl/e/llms-en-tu-pc-inteligencia-artificial-generativa-en-forma-local-tickets-1953038152689?aff=oddtdtcreator"
"Automatización de workflows en R y Python con targets y snakemake",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.cl/e/automatizacion-de-workflows-en-r-y-python-con-targets-y-snakemake-tickets-1936131664929?aff=oddtdtcreator"
"Crea tus propios inputs y outputs en Shiny",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.cl/e/crea-tus-propios-inputs-y-outputs-en-shiny-tickets-1955947434429?aff=oddtdtcreator"
"Forecasting with regression models",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.cl/e/forecasting-with-regression-models-tickets-1955640717029?aff=oddtdtcreator"
"Intro a Positron",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.cl/e/intro-a-positron-tickets-1964484827000?aff=oddtdtcreator"
"Introdución a Tidymodels",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.com.ar/e/1962543491413?aff=oddtdtcreator"
"R-multiverse: a new way to publish R packages",,,,,"September 2025",2025,"Event Organization",,"Organizer","https://ropensci.org/commcalls/r-multiverse/"
"Tableros con Quarto Dashboards y Crosswalk",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.com.ar/e/1955757476259?aff=oddtdtcreator"
"Análisis y visualización de datos funcionales en R",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.com.ar/e/1962639693155?aff=oddtdtcreator"
"Análisis cualitativo para grandes volúmenes de texto con LLMs",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.com.ar/e/analisis-cualitativo-para-grandes-volumenes-de-texto-con-llms-tickets-1962623150676?aff=oddtdtcreator"
"Coworking Mini-Hackathon for First-Time Contributors",,,,"Online","February 2025",2025,"Hackathon",,"Participant","https://ropensci.org/events/coworking-2025-02/"
"Coding with AI in RStudio",,,,,"December 2025",2025,"Event Organization",,"Organizer","https://www.eventbrite.com.ar/e/1962817615325?aff=oddtdtcreator"
"Coworking Mini-Hackathon for First-Time Contributors",,,,,"March 2025",2025,"Hackathon",,"Participant","https://ropensci.org/events/coworking-2025-03/"
"Desde hojas de calculo a R - Encuentro 1",,,,,"June 2025",2025,"Talk",,"Speaker","https://www.meetup.com/rladies-santa-rosa/events/308228742/"
"Desde hojas de calculo a R - Encuentro 2",,,,,"June 2025",2025,"Talk",,"Speaker","https://www.meetup.com/rladies-santa-rosa/events/308229006/"
"¡Miércoles, Git! Manejo de errores en Git y no morir en el intento",,,,"Online","October 2025",2025,"Event Organization",,"Organizer","https://www.meetup.com/rladies-santa-rosa/events/308395195/"
"Member Infrastructure Steering Committee R Consortium",,,,,"October 2025",2025,"Other",,"Other","https://r-consortium.org/about/governance.html#infrastructure-steering-committee"
"Big Team Collaboration on Data Management and Analysis with rOpenSci",,,,,"October 2025",2025,"Talk",,"Speaker","https://ropensci.org/events/csidnetwork-2025/"
"Connecting with the Larger Open Science Community",,,,,"November 2025",2025,"Talk",,"Speaker","https://www.notion.so/Connecting-with-the-Larger-Open-Science-Community-25530b623ec8804ab5a3c1710b92c24e"
