Nombre,Institucion.Evento,Lugar,Fecha,anio,Tipo,Cantidad,Rol,Links
Curso de capacitación “Base de Datos Relacionales para sistemas agropecuarios”.,Anguil- La Pampa,,16/06/2017 al 30/11/2017,2017,Course,9,Teacher,
Agro geotecnologías: sobre estrellas y semillas,San Luis- Argentina,,05/12/2017,2017,Keynote,200,Speaker,
Charla “Registro de propiedad intelectual de software”.,Reunión PROFEDER Contratistas Rurales.,EEA Anguil.,1 de diciembre de 2017,2017,Regular Talk,7,Speaker,
Curso de capacitación interno sobre uso de web y espacios de colaboración.,General Pico- La Pampa,,27/11/2017,2017,Course,12,Teacher,
Charla Técnicas en AgroTICs,Instituto de Formación Técnica y Docente de Trenque Lauquen. Tecnicatura en Producción Agricola-Ganadera,Anguil,03 de noviembre de 2017,2017,Regular Talk,15,Speaker,
Charlas Técnicas GeoINTA y GeoTecnologías en la nube,Santa Rosa,,20 de octubre de 2017.,2017,Invited Talk,21,Speaker,
Curso extracurricular “Manejo de datos con herramientas libres”. Resolución rector UNLPam N° 322/16,Santa Rosa- La Pampa,,octubre 2017,2017,Course,23,Teacher,
Curso extracurricular “Manejo de datos con herramientas libres”.,Santa Rosa- La Pampa,,septiembre 2017,2017,Course,26,Teacher,
Herramientas para el manejo de datos agropecuarios. Sistemas de información de INTA,Santa Rosa,,25/08/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. Google Earth,Santa Rosa,,18/08/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. OpenRefine,Santa Rosa,,11/08/2017,2017,Course,15,Teacher,
Herramientas para el manejo de datos agropecuarios. Tableau.,Santa Rosa,,04/08/2017,2017,Course,15,Teacher,
Charla “Herramienta de limpieza de datos: OpenRefine”.,Santa Rosa.,,28 de julio de 2017.,2017,Invited Talk,6,Speaker,
"Agroinformática, el uso de la ciencia de los datos aplicada al sector agro para adquirir un mayor conocimiento",Santa Rosa,,29/06/2017,2017,Podcast,100,Speaker,https://inta.gob.ar/audios/entrevista-a-lic-en-sistemas-de-informacion-yanina-bellini-investigadora-de-estacion-experimental-de-inta-anguil-agroinformatica-el-uso-de-la-ciencia-de-los-datos-aplicada-al-sector-agro-para
Charla “AgroMinería de Datos”,Santa Rosa.,,22 de junio de 2017,2017,Invited Talk,26,Speaker,
Charla “R-Ladies Santa Rosa”.,Santa Rosa.,,22 de junio de 2017.,2017,Invited Talk,26,Speaker,
Caracterización de sistemas productivos pampeanos,Anguil-Santa Rosa-Toay,,02/06/2017,2017,Regular Talk,9,Speaker,https://inta.gob.ar/noticias/caracterizacion-de-sistemas-productivos-pampeanos
