Nombre,Institucion.Evento,Lugar,Fecha,anio,Tipo,Cantidad,Rol,Links
Diferentes plataformas de datos del INTA,Clubes de Innovación,Municipalidad de Trenque Lauquen,27-10-2017,2017,Keynote,60,Speaker,https://www.trenquelauquen.gov.ar/noticias/mas-de-60-personas-co-crearon-soluciones-tecnologicas/
Gestión de Datos,UNAB,Licenciatura en Ciencia de Datos,Marzo-Julio,2021,Course,30,Teacher,
Gestión de Datos,UNAB,Licenciatura en Ciencia de Datos,Agosto-Diciembre,2022,Course,30,Teacher,
Visualization,UNAB,Licenciatura en Ciencia de Datos,Agosto-Diciembre,2021,Course,30,Teacher,
Visualization,UNAB,Licenciatura en Ciencia de Datos,Marzo-Julio,2022,Course,30,Teacher,
“Ganadería y Sistemas Mixtos en Siembra Directa”,Curso de Posgrado “Especialización en Siembra Directa”.,Facultad de Agronomía de la Universidad de Buenos Aires.,noviembre de 2006,2006,Course,56,Teacher,
"”Aspectos Tecnológicos y Productivos, Almacenaje Comercial e Integración en un SIG”",Curso de Posgrado “Especialización en Siembra Directa”.,Facultad de Agronomía de la Universidad de Buenos Aires.,noviembre 2003,2003,Course,48,Teacher,
Sistemas de Procesamiento de Datos,Carrera Auditoria Bancaria,CENT N°1. Santa Rosa,Marzo-Diciembre 2000,2000,Course,32,Teacher,
Arquitectura y Sistemas Operativos,Carrera de Analista de Sistemas,Colegio Universitario Liceo Informático II,Agosto-Diciembre,1996,Course,100,Teacher Assistant,
Técnicas de Multiprogramación,Carrera de Analista de Sistemas,Colegio Universitario Liceo Informático II,Marzo-Julio,1997,Course,68,Teacher Assistant,
Sistemas de Computación,Carrera de Analista de Sistemas,Colegio Universitario Liceo Informático II,Marzo-Julio,1998,Course,53,Teacher Assistant,
Actividades Prácticas (Producción Multimedial),Nivel polimodal,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1996,Course,27,Teacher,
Actividades Prácticas (Producción Multimedial),Nivel polimodal,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1997,Course,23,Teacher,
Actividades Plásticas (Internet),Nivel polimodal,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1996,Course,27,Teacher,
Actividades Plásticas (Internet),Nivel polimodal,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1997,Course,23,Teacher,
Informática 7º año,Tercer ciclo EGB,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1997,Course,26,Teacher,
Informática 7º año,Tercer ciclo EGB,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1998,Course,25,Teacher,
Informática 8º año,Tercer ciclo EGB,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1997,Course,26,Teacher,
Informática 8º año,Tercer ciclo EGB,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1998,Course,25,Teacher,
Práctica Visual (Diseño Gráfico por Computadora) - 8º año,Tercer ciclo EGB,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1998,Course,25,Teacher,
Práctica Visual (Diseño Gráfico por Computadora) - 8º año,Tercer ciclo EGB,Colegio Universitario Liceo Informático II,Marzo-Diciembre,1997,Course,25,Teacher,
Hacia una Arquitectura de Procesamiento de Datos del RADAR Meteorológico de INTA Anguil.,SIE 2015 - 9º Simposio de Informática en el Estado,44 JAIIO,04/09/2015,2015,Regular Talk,60,Speaker,
Clasificación de granizo en superficie usando técnicas de minería de datos y datos de radar meteorológico.,ASAI 2015,44 JAIIO,03/09/2015,2015,Regular Talk,50,Speaker,
Síntesis de una Arquitectura de Procesamiento de Datos del RADAR Meteorológico de INTA Anguil.,AGRANDA 2015,44 JAIIO,02/09/2015,2015,Lightning talk,30,Speaker,
Sistema de Información del Seguimiento Semanal de los Sistemas de Producción,6º Congreso Argentino de AgroInformática,43 JAIIO,01/09/2014,2014,Regular Talk,80,Speaker,
R-Ladies: Agroinformática y el rol de la mujer,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,05/09/2017,2017,Keynote,60,Speaker,
GeoINTA: compartiendo datos por medio de la Infraestructura de Datos Espaciales del INTA,10° Simposio de Informática en el Estado - SIE,Buenos Aires- Argentina.,7 al 9 de Septiembre de 2016.,2016,Regular Talk,70,Speaker,
Clasificación de Sistemas Productivos Preponderantes utilizando técnicas de agrupamiento para la estimación de emisiones de Gases de Efecto Invernadero,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,04/09/2017,2017,Regular Talk,60,Speaker,
Hacia una Guía Digital Móvil para la identificación y manejo sustentable de los pastizales naturales,CAI - 9º Congreso de AgroInformática (JAIIO),46 JAIIO,05/09/2017,2017,Regular Talk,60,Speaker,
Monitoreo móvil del programa ProHuerta en La Pampa,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,05/09/2018,2018,Regular Talk,,Speaker,
Análisis de clustering en una región de La Pampa para clasificar sistemas ganaderos preponderantes y estimar emisiones de gases de efecto invernadero,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,05/09/2018,2018,Regular Talk,,Speaker,
Evaluación del desempeño de productos satelitales para estimar precipitación en Córdoba (Argentina),CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,05/09/2018,2018,Regular Talk,,Speaker,
Relevamiento de la Agricultura Periurbana en una microregión de La Pampa,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,06/09/2018,2018,Regular Talk,,Speaker,
Congreso Argentino de Agroinformática: Un análisis bibliometrico,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,06/09/2018,2018,Regular Talk,,Speaker,
Tendências de pesquisa em Agroinformática na Argentina: uma análise histórica ,CAI 2018 - Congreso Argentino de AgroInformática,47 JAIIO,06/09/2018,2018,Regular Talk,,Speaker,
Evaluación del desempeño de productos satelitales para estimar evapotranspiración en la región pampeana (Argentina),11º Congreso Argentino de AgroInformática (CAI-2019),Salta,2019,2019,Regular Talk,50,Speaker,
Quién es Quién en la Agroinformática Argentina,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,2019,2019,Regular Talk,50,Speaker,
Análise das Tendências de pesquisa no Congresso de Agroinformática da Argentina: um estudo regional,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,2019,2019,Regular Talk,50,Speaker,
Conjunto de datos de resultados de la Red Nacional de Cultivares de Girasol de INTA,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,2019,2019,Regular Talk,50,Speaker,
Conjunto de datos de imágenes etiquetadas para el desarrollo de aplicaciones de reconocimiento de patrones en el cultivo de girasol,11º Congreso Argentino de AgroInformática (CAI-2019),Salta,2019,2019,Regular Talk,50,Speaker,
{agromet}: un paquete en R para el análisis de datos meteorológicos,CONGRESO ARGENTINO DE AGROINFORMATICA (JAIIO),JAIIO,2021,2021,Regular Talk,200,Speaker,
Un palenque pa ́l granizo: una arquitectura flexible para manejo de grandes volúmenes de datos para el agro. ,AGRANDA 2022,51 JAIIO,25/10/2022,2022,Keynote,100,Speaker,
